DHID,UTM_X,UTM_Y,Azim,Incl,TD m,Elevation (m)
MURALLA-01,469281.565,2523050.65877046,0,-90,457.81,2110
MURALLA-02,470071.471,2523271.54447143,0,-90,364.3,2185
MURALLA-03,470686.11,2523443.21107598,0,-90,526.39,2225
MURALLA-04,471361.972,2523630.4837355,0,-90,519.68,2225
MURALLA-08,471975.41,2523802.15034005,0,-90,473.63,2145
MURALLA-10,472688.487,2524003.82858876,0,-90,450.19,2300
MURALLA-11,473327.135,2524180.29705638,0,-90,303.8,2195
MURALLA-12,473814.524,2524315.94968795,0,-90,224.64,2170
MURALLA-13,474359.535,2524469.60930602,0,-90,256.2,2245
MURALLA-13B,468766.008,2522900.4766262,0,-90,600.95,2245
